agency,agency,Latitude,Longitude,actively_employed,De-escalation,Mental,Race,(blank),Grand Total,mental_de-escalation_total_over_5_years,mental_deescalation_per_officer,mental_deescalation_per_officer_per_year
G1816 WALKER COUNTY POLICE DEPARTMENT,Walker County Police Department  ,34.697006,-85.255273,8,,3,1,366,370,3,0.4,0.1
G1318 FRANKLIN COUNTY SHERIFFS OFFICE,Franklin County Sheriffs Office  ,34.363122,-83.254745,72,,28,,7883,7911,28,0.4,0.1
G1088 NAHUNTA POLICE DEPARTMENT,Nahunta Police Department   ,31.195458,-81.769039,5,,2,1,148,151,2,0.4,0.1
G1300 BROXTON POLICE DEPARTMENT,Broxton Police Department   ,31.603532,-82.875413,10,,4,,544,548,4,0.4,0.1
G1749 MCINTYRE POLICE DEPARTMENT,Mcintyre Police Department   ,32.886524,-83.231724,5,,2,,792,794,2,0.4,0.1
G1768 MOLENA POLICE DEPARTMENT,Molena Police Department   ,33.022288,-84.436925,10,,4,,662,666,4,0.4,0.1
G1105 PIKE COUNTY SHERIFFS OFFICE,Pike County Sheriffs Office  ,33.077371,-84.321736,47,,20,,5749,5769,20,0.4,0.1
G1278 FORT GAINES POLICE DEPARTMENT,Fort Gaines Police Department  ,31.605174,-85.049942,7,,3,,291,294,3,0.4,0.1
G1303 MILLEN POLICE DEPARTMENT,Millen Police Department   ,32.779376,-81.973904,16,,7,,1318,1325,7,0.4,0.1
G1716 MILLER COUNTY SHERIFFS OFFICE,Miller County Sheriffs Office  ,31.174141,-84.738197,16,,7,,1337,1344,7,0.4,0.1
G1118 TWIGGS COUNTY SHERIFFS OFFICE,Twiggs County Sheriffs Office  ,32.661271,-83.331033,47,20,1,,5136,5157,21,0.4,0.1
G1586 HART COUNTY SHERIFFS OFFICE,Hart County Sheriffs Office  ,34.361177,-82.941703,60,,27,,4147,4174,27,0.5,0.1
G1322 JONES COUNTY SHERIFFS OFFICE,Jones County Sheriffs Office  ,32.991607,-83.567362,77,20,16,,12207,12243,36,0.5,0.1
G1563 CUMMING POLICE DEPARTMENT,Cumming Police Department   ,34.202944,-84.140226,21,,10,,3889,3899,10,0.5,0.1
G1578 BEN HILL COUNTY SHERIFFS OFFICE,Ben Hill County Sheriffs Office ,31.748753,-83.235412,63,,30,44,5888,5962,30,0.5,0.1
G1062 DODGE COUNTY SHERIFFS OFFICE,Dodge County Sheriffs Office  ,32.200429,-83.175376,50,,24,,3785,3809,24,0.5,0.1
G1046 TELFAIR COUNTY SHERIFFS OFFICE,Telfair County Sheriffs Office  ,31.991688,-83.202752,27,,13,,1779,1792,13,0.5,0.1
G1033 COFFEE COUNTY SHERIFFS OFFICE,Coffee County Sheriffs Office  ,31.515962,-82.892436,118,,58,20,11129,11207,58,0.5,0.1
G1020 COLLINS POLICE DEPARTMENT,Collins Police Department   ,32.1813,-82.10901,2,,1,,106,107,1,0.5,0.1
G1043 EDISON POLICE DEPARTMENT,Edison Police Department   ,31.55823,-84.73825,8,,4,,758,762,4,0.5,0.1
G1097 LAKE PARK POLICE DEPARTMENT,Lake Park Police Department  ,30.68372,-83.182655,6,,3,,438,441,3,0.5,0.1
G1266 LANIER COUNTY SHERIFFS OFFICE,Lanier County Sheriffs Office  ,31.039236,-83.080991,12,,6,24,1287,1317,6,0.5,0.1
G1271 LEARY POLICE DEPARTMENT,Leary Police Department   ,31.523476,-84.533659,2,,1,,149,150,1,0.5,0.1
G1331 IRWINTON POLICE DEPARTMENT,Irwinton Police Department   ,32.751414,-83.145237,2,,1,,174,175,1,0.5,0.1
G1346 WEBSTER COUNTY SHERIFFS OFFICE,Webster County Sheriffs Office  ,32.076133,-84.543517,4,,2,,707,709,2,0.5,0.1
G1408 LUMPKIN POLICE DEPARTMENT,Lumpkin Police Department   ,32.069538,-84.728093,4,,2,,1742,1744,2,0.5,0.1
G1487 COCHRAN POLICE DEPARTMENT,Cochran Police Department   ,32.38653,-83.354885,16,,8,,2182,2190,8,0.5,0.1
G1494 WARE COUNTY POLICE DEPARTMENT,Ware County Police Department  ,31.215503,-82.35546,4,,2,,661,663,2,0.5,0.1
G1506 GREENVILLE POLICE DEPARTMENT,Greenville Police Department   ,33.046754,-84.740188,10,,5,,875,880,5,0.5,0.1
G1730 TALBOTTON POLICE DEPARTMENT,Talbotton Police Department   ,32.673738,-84.537989,6,,3,,203,206,3,0.5,0.1
G2090 STILLMORE POLICE DEPARTMENT,Stillmore Police Department   ,32.43723,-82.22496,4,,2,,97,99,2,0.5,0.1
G1236 LOCUST GROVE POLICE DEPARTMENT,Locust Grove Police Department  ,33.372111,-84.115645,20,8,3,,3226,3237,11,0.6,0.1
G1530 MACON COUNTY SHERIFFS OFFICE,Macon County Sheriffs Office  ,32.327479,-84.101472,27,,15,7,952,974,15,0.6,0.1
G1232 STEPHENS COUNTY SHERIFFS OFFICE,Stephens County Sheriffs Office  ,34.580144,-83.331457,66,24,13,18,8647,8702,37,0.6,0.1
G1584 SPARTA POLICE DEPARTMENT,Sparta Police Department   ,33.275542,-82.974938,16,8,1,4,696,709,9,0.6,0.1
G1306 LAKELAND POLICE DEPARTMENT,Lakeland Police Department   ,31.040511,-83.075253,7,,4,,546,550,4,0.6,0.1
G1633 JACKSON POLICE DEPARTMENT,Jackson Police Department   ,33.293517,-83.966309,14,4,4,,3985,3993,8,0.6,0.1
G2445 TWIN CITY POLICE DEPARTMENT,Twin City Police Department  ,32.551534,-82.514707,14,,8,,1282,1290,8,0.6,0.1
G1444 BREMEN POLICE DEPARTMENT,Bremen Police Department   ,33.722015,-85.142943,26,,15,9,4662,4686,15,0.6,0.1
G1070 STATHAM POLICE DEPARTMENT,Statham Police Department   ,33.980323,-83.590148,5,3,,,895,898,3,0.6,0.1
G1145 DOERUN POLICE DEPARTMENT,Doerun Police Department   ,31.31963,-83.91712,10,,6,1,630,637,6,0.6,0.1
G1166 TURNER COUNTY SHERIFFS OFFICE,Turner County Sheriffs Office  ,31.682083,-83.638466,40,20,4,8,4929,4961,24,0.6,0.1
G1002 MARSHALLVILLE POLICE DEPT,Marshallville Police Dept   ,32.438321,-83.905039,13,,8,,684,692,8,0.6,0.1
G1026 TENNILLE POLICE DEPARTMENT,Tennille Police Department   ,32.873449,-82.782879,13,,8,,442,450,8,0.6,0.1
G1352 JOHNSON COUNTY SHERIFFS OFFICE,Johnson County Sheriffs Office  ,32.72998,-82.718694,26,8,8,,2130,2146,16,0.6,0.1
G1076 BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County Sheriffs Office  ,33.072279,-83.239008,128,20,59,,15619,15698,79,0.6,0.1
G1484 BROOKS COUNTY SHERIFFS OFFICE,Brooks County Sheriffs Office  ,30.78944,-83.587777,40,8,17,4,4199,4228,25,0.6,0.1
G1009 CLAY COUNTY SHERIFFS OFFICE,Clay County Sheriffs Office  ,31.63618,-85.054942,11,,7,,550,557,7,0.6,0.1
G1499 ECHOLS COUNTY SHERIFFS OFFICE,Echols County Sheriffs Office  ,30.70327,-83.02764,11,,7,,1905,1912,7,0.6,0.1
G1121 CLAXTON POLICE DEPARTMENT,Claxton Police Department   ,32.155974,-81.930957,14,,9,,1018,1027,9,0.6,0.1
G1316 CHICKAMAUGA POLICE DEPARTMENT,Chickamauga Police Department   ,34.882376,-85.283233,14,,9,8,1178,1195,9,0.6,0.1
G1542 MONTEZUMA POLICE DEPARTMENT,Montezuma Police Department   ,32.305158,-84.027407,14,,9,6,1777,1792,9,0.6,0.1
G1619 HAZLEHURST POLICE DEPARTMENT,Hazlehurst Police Department   ,31.860864,-82.602831,14,,9,,2636,2645,9,0.6,0.1
G1365 MONTGOMERY COUNTY SHERIFF'S OFFICE,Montgomery County Sheriff'S Office  ,32.163981,-82.588479,26,16,1,,1760,1777,17,0.7,0.1
G1109 HEPHZIBAH POLICE DEPARTMENT,Hephzibah Police Department   ,33.32229,-82.058032,15,8,2,,1213,1223,10,0.7,0.1
G1263 VIENNA POLICE DEPARTMENT,Vienna Police Department   ,32.115981,-83.791644,6,,4,,874,878,4,0.7,0.1
G1775 PORTAL POLICE DEPT,Portal Police Dept   ,32.552055,-81.924195,3,,2,,388,390,2,0.7,0.1
G1678 CLINCH COUNTY SHERIFFS OFFICE,Clinch County Sheriffs Office  ,31.039337,-82.750045,16,,11,,2185,2196,11,0.7,0.1
G1398 MARION COUNTY SHERIFFS OFFICE,Marion County Sheriffs Office  ,32.254152,-84.489818,13,,9,,859,868,9,0.7,0.1
G1019 RAY CITY POLICE DEPARTMENT,Ray City Police Department  ,31.083619,-83.228709,6,,,,462,462,0,0,0
G1029 SPARKS POLICE DEPARTMENT,Sparks Police Department   ,31.212878,-83.412143,6,,,,849,849,0,0,0
G1044 MILNER POLICE DEPARTMENT,Milner Police Department   ,33.11679,-84.19659,10,,,,5,5,0,0,0
G1063 MCCAYSVILLE POLICE DEPARTMENT,Mccaysville Police Department   ,34.98619,-84.37131,10,,,,453,453,0,0,0
G1102 ZEBULON POLICE DEPARTMENT,Zebulon Police Department   ,33.077371,-84.321736,15,,,,1124,1124,0,0,0
G1140 WHIGHAM POLICE DEPARTMENT,Whigham Police Department   ,30.901959,-84.311493,6,,,,427,427,0,0,0
G1179 PAVO POLICE DEPARTMENT,Pavo Police Department   ,30.958368,-83.741996,3,,,,325,325,0,0,0
G1186 ARCADE POLICE DEPARTMENT,Arcade Police Department   ,34.10601,-83.589021,5,,,,345,345,0,0,0
G1199 MOUNTAIN CITY POLICE DEPT.,Mountain City Police Dept.  ,34.91815,-83.38544,5,,,,306,306,0,0,0
G1225 GEORGIA PUBLIC SAFETY TRNG CENTER POLICE,Georgia Public Safety Trng Center Police,33.058991,-83.960704,43,,,,146,146,0,0,0
G1268 TIGNALL POLICE DEPARTMENT,Tignall Police Department   ,33.868603,-82.741067,3,,,,113,113,0,0,0
G1281 CALHOUN COUNTY SHERIFFS OFFICE,Calhoun County Sheriffs Office  ,31.53796,-84.611559,10,,,,840,840,0,0,0
G1288 BLUE RIDGE POLICE DEPARTMENT,Blue Ridge Police Department  ,34.869221,-84.323629,16,,,,1833,1833,0,0,0
G1311 DARIEN POLICE DEPARTMENT,Darien Police Department   ,31.413831,-81.369263,16,,,4,1863,1867,0,0,0
G1321 HAMILTON POLICE DEPARTMENT,Hamilton Police Department   ,32.746007,-84.934906,4,,,,308,308,0,0,0
G1363 OMEGA POLICE DEPARTMENT,Omega Police Department   ,31.34102,-83.5935,7,,,,230,230,0,0,0
G1374 CLIMAX POLICE DEPARTMENT,Climax Police Department   ,30.875425,-84.433043,2,,,,63,63,0,0,0
G1389 NELSON POLICE DEPARTMENT,Nelson Police Department   ,34.242944,-84.458326,4,,0,,277,277,0,0,0
G1403 JEFFERSONVILLE POLICE DEPT,Jeffersonville Police Dept   ,32.661271,-83.331033,3,,,,90,90,0,0,0
G1407 IDEAL POLICE DEPARTMENT,Ideal Police Department   ,32.372937,-84.212159,3,,,,126,126,0,0,0
G1417 SHILOH POLICE DEPARTMENT,Shiloh Police Department   ,32.791278,-84.733595,2,,,,31,31,0,0,0
G1423 JENKINS COUNTY SHERIFFS OFFICE,Jenkins County Sheriffs Office  ,32.779376,-81.973904,19,,,,987,987,0,0,0
G1439 MANCHESTER POLICE DEPARTMENT,Manchester Police Department   ,32.91107,-84.615478,22,,,,1710,1710,0,0,0
G1453 SALE CITY POLICE DEPARTMENT,Sale City Police Department  ,31.27433,-84.047656,7,,,,25,25,0,0,0
G1466 TRENTON POLICE DEPARTMENT,Trenton Police Department   ,34.871687,-85.50208,7,,,8,1038,1046,0,0,0
G1467 HILTONIA POLICE DEPARTMENT,Hiltonia Police Department   ,32.883494,-81.658166,7,,,,1,1,0,0,0
G1471 BALL GROUND POLICE DEPARTMENT,Ball Ground Police Department  ,34.33815,-84.37659,4,,,,594,594,0,0,0
G1509 BOSTON POLICE DEPARTMENT,Boston Police Department   ,30.79186,-83.78989,4,,,,205,205,0,0,0
G1511 CHAUNCEY POLICE DEPARTMENT,Chauncey Police Department   ,32.150374,-83.055544,1,,,,84,84,0,0,0
G1520 WRIGHTSVILLE POLICE DEPARTMENT,Wrightsville Police Department   ,32.728382,-82.731887,10,,,,1245,1245,0,0,0
G1552 WAVERLY HALL POLICE DEPARTMENT,Waverly Hall Police Department  ,32.68347,-84.73826,4,,,,195,195,0,0,0
G1574 FOLKSTON POLICE DEPARTMENT,Folkston Police Department   ,30.830217,-82.006462,6,,,,1008,1008,0,0,0
G1620 PATTERSON POLICE DEPARTMENT,Patterson Police Department   ,31.369686,-82.115363,9,,,,199,199,0,0,0
G1639 ABBEVILLE POLICE DEPARTMENT,Abbeville Police Department   ,31.992882,-83.307824,7,,,,406,406,0,0,0
G1683 MOUNT VERNON POLICE DEPARTMENT,Mount Vernon Police Department  ,32.163981,-82.588479,10,,,,518,518,0,0,0
G1685 OGLETHORPE POLICE DEPARTMENT,Oglethorpe Police Department   ,32.292894,-84.06124,4,,,,499,499,0,0,0
G1710 LOOKOUT MOUNTAIN POLICE DEPARTMENT,Lookout Mountain Police Department  ,34.977701,-85.357612,11,,,,985,985,0,0,0
G1725 UVALDA POLICE DEPARTMENT,Uvalda Police Department   ,32.028823,-82.516246,1,,,,100,100,0,0,0
G1747 TALLULAH FALLS POLICE DEPT,Tallulah Falls Police Dept  ,34.742007,-83.397716,5,,,,483,483,0,0,0
G1765 CANON POLICE DEPARTMENT,Canon Police Department   ,34.344701,-83.1099,3,,,,399,399,0,0,0
G1814 WILLACOOCHEE POLICE DEPARTMENT,Willacoochee Police Department   ,31.361682,-82.968235,5,,,,751,751,0,0,0
G2062 GRAHAM POLICE DEPARTMENT,Graham Police Department   ,31.780792,-82.355396,3,,,,58,58,0,0,0
G2066 WASHINGTON CO. BOARD OF EDUCATION POLICE,Washington Co. Board Of Education Police,32.98446,-82.810549,14,,,,524,524,0,0,0
G2083 ROSWELL PARK POLICE,Roswell Park Police   ,34.021605,-84.349891,5,,,,281,281,0,0,0
G2116 JACKSONVILLE POLICE DEPARTMENT,Jacksonville Police Department   ,31.83245,-82.977178,1,,,,24,24,0,0,0
G2153 RANDOLPH COUNTY SCHOOL POLICE,Randolph County School Police  ,31.757958,-84.7955,1,,,,28,28,0,0,0
G2182 TWIGGS COUNTY BOARD OF EDUCATION POLICE,Twiggs County Board Of Education Police,32.661271,-83.331033,3,,,,236,236,0,0,0
G2207 GEORGIA MILITARY COLLEGE POLICE DEPT.,Georgia Military College Police Dept. ,33.079998,-83.224993,4,,,,400,400,0,0,0
G2216 ALTO POLICE DEPARTMENT,Alto Police Department   ,34.470972,-83.569732,9,,,,679,679,0,0,0
G2297 MCINTOSH COUNTY CAMPUS POLICE DEPARTMENT,Mcintosh County Campus Police Department ,31.373524,-81.425244,2,,,,84,84,0,0,0
G2324 APPLING CO. BOARD OF EDUCATION POLICE,Appling Co. Board Of Education Police,31.683434,-82.302894,2,,,,218,218,0,0,0
G2333 CARL POLICE DEPARTMENT,Carl Police Department   ,34.019109,-83.826094,2,,,,416,416,0,0,0
G2336 OAK PARK POLICE DEPARTMENT,Oak Park Police Department  ,32.359151,-82.314915,8,,,2,360,362,0,0,0
G2437 Georgia Northwest Technical College Police Academy,Georgia Northwest Technical College Police Academy,34.469499,-84.976028,1,,,,4,4,0,0,0
G2446 TELFAIR COUNTY SCHOOL POLICE,Telfair County School Police  ,32.065221,-82.900573,2,,,,26,26,0,0,0
G2457 ALBANY TECHNICAL COLLEGE POLICE DEPARTMENT,Albany Technical College Police Department ,31.554631,-84.17679,3,,,28,56,84,0,0,0
G2460 LANIER TECH. COLLEGE POLICE,Lanier Tech. College Police  ,34.232094,-83.868375,2,,,28,,28,0,0,0
G1320 PIERCE COUNTY SHERIFFS OFFICE,Pierce County Sheriffs Office  ,31.302866,-82.233213,48,,2,14,3002,3018,2,0,0
G1343 CANDLER COUNTY SHERIFFS OFFICE,Candler County Sheriffs Office  ,32.39938,-82.048201,23,,1,,1696,1697,1,0,0
G1694 COLQUITT POLICE DEPARTMENT,Colquitt Police Department   ,31.17285,-84.738404,15,,1,,2298,2299,1,0.1,0
G1130 WARM SPRINGS POLICE DEPT,Warm Springs Police Dept  ,32.906319,-84.716723,14,,1,,218,219,1,0.1,0
G1216 DEMOREST POLICE DEPARTMENT,Demorest Police Department   ,34.573483,-83.575411,14,,1,,637,638,1,0.1,0
G1536 BLAIRSVILLE POLICE DEPARTMENT,Blairsville Police Department   ,34.867512,-83.967636,14,,1,,580,581,1,0.1,0
G1204 CHATTAHOOCHEE COUNTY SHERIFFS OFFICE,Chattahoochee County Sheriffs Office  ,32.292547,-84.736706,12,,1,,1359,1360,1,0.1,0
G1280 TUNNEL HILL POLICE DEPARTMENT,Tunnel Hill Police Department  ,34.875416,-85.050047,11,,1,,824,825,1,0.1,0
G1175 ATKINSON COUNTY SHERIFFS OFFICE,Atkinson County Sheriffs Office  ,31.340836,-82.853406,19,,2,,1184,1186,2,0.1,0
G1355 EARLY COUNTY SHERIFFS OFFICE,Early County Sheriffs Office  ,31.37768,-84.93409,46,,5,,5926,5931,5,0.1,0
G1628 ROSSVILLE POLICE DEPARTMENT,Rossville Police Department   ,34.98313,-85.28607,18,,2,1,1039,1042,2,0.1,0
G1750 LUMBER CITY POLICE DEPARTMENT,Lumber City Police Department  ,31.931373,-82.682963,18,,2,,387,389,2,0.1,0
G1624 GRANTVILLE POLICE DEPARTMENT,Grantville Police Department   ,33.231628,-84.840362,17,,2,2,3137,3141,2,0.1,0
G1518 NORMAN PARK POLICE DEPARTMENT,Norman Park Police Department  ,31.246179,-83.654904,8,,1,,461,462,1,0.1,0
G1651 WILKES COUNTY SHERIFFS OFFICE,Wilkes County Sheriffs Office  ,33.720353,-82.727982,40,,5,,2940,2945,5,0.1,0
G1366 CLARKESVILLE POLICE DEPARTMENT,Clarkesville Police Department   ,34.655918,-83.508274,22,,3,,633,636,3,0.1,0
G1160 CHARLTON COUNTY SHERIFFS OFFICE,Charlton County Sheriffs Office  ,30.830524,-82.005057,29,,4,,3945,3949,4,0.1,0
G1135 CAVE SPRING POLICE DEPARTMENT,Cave Spring Police Department  ,34.107701,-85.334374,14,,2,,55,57,2,0.1,0
G1141 GRAY POLICE DEPARTMENT,Gray Police Department   ,32.991607,-83.567362,13,,2,,1744,1746,2,0.2,0
G1185 WINTERVILLE POLICE DEPARTMENT,Winterville Police Department   ,33.930735,-83.292152,13,,2,,861,863,2,0.2,0
G1008 ETON POLICE DEPARTMENT,Eton Police Department   ,34.830119,-84.761326,6,,1,,256,257,1,0.2,0
G1251 SOPERTON POLICE DEPARTMENT,Soperton Police Department   ,32.350376,-82.552655,12,,2,,929,931,2,0.2,0
G1419 LESLIE POLICE DEPT.,Leslie Police Dept.   ,32.000148,-84.088354,6,,1,,327,328,1,0.2,0
G1521 WARRENTON POLICE DEPARTMENT,Warrenton Police Department   ,33.406118,-82.641067,12,,2,,1748,1750,2,0.2,0
G1616 COMER POLICE DEPARTMENT,Comer Police Department   ,34.105661,-83.144463,6,,1,,627,628,1,0.2,0
G1392 Pine Mountain Police Department,Pine Mountain Police Department  ,32.834241,-84.904638,11,,2,6,1210,1218,2,0.2,0
G1143 BUTLER POLICE DEPARTMENT,Butler Police Department   ,32.572668,-84.226075,10,,2,,1392,1394,2,0.2,0
G1223 BERLIN POLICE DEPARTMENT,Berlin Police Department   ,31.06824,-83.62378,5,,1,,339,340,1,0.2,0
G1470 REIDSVILLE POLICE DEPARTMENT,Reidsville Police Department   ,32.031081,-82.146011,10,,2,,1071,1073,2,0.2,0
G1546 BLYTHE POLICE DEPARTMENT,Blythe Police Department   ,33.301287,-82.212296,5,,1,,420,421,1,0.2,0
G1572 STAPLETON POLICE DEPARTMENT,Stapleton Police Department   ,33.181447,-82.438568,5,,1,,299,300,1,0.2,0
G1738 WOODBURY POLICE DEPARTMENT,Woodbury Police Department   ,32.968248,-84.625409,10,,2,5,827,834,2,0.2,0
G1772 KINGSTON POLICE DEPARTMENT,Kingston Police Department   ,34.343576,-84.715845,5,,1,6,141,148,1,0.2,0
G2144 DECATUR CO. BOARD OF EDUCATION POLICE,Decatur Co. Board Of Education Police,30.905334,-84.576499,5,,1,,488,489,1,0.2,0
G2183 ANDREW COLLEGE POLICE DEPARTMENT,Andrew College Police Department  ,31.772035,-84.796754,5,,1,,273,274,1,0.2,0
G1736 LUDOWICI POLICE DEPTARTMENT,Ludowici Police Deptartment   ,31.780996,-81.773916,14,,3,,825,828,3,0.2,0
G1226 BAKER COUNTY SHERIFFS OFFICE,Baker County Sheriffs Office  ,31.31296,-84.33574,9,,2,,1330,1332,2,0.2,0
G1587 NEWINGTON POLICE DEPARTMENT,Newington Police Department   ,32.580957,-81.482625,9,,2,,48,50,2,0.2,0
G1158 PULASKI COUNTY SHERIFFS OFFICE,Pulaski County Sheriffs Office  ,32.275664,-83.49009,22,,5,,3251,3256,5,0.2,0
G1409 CLAYTON POLICE DEPARTMENT,Clayton Police Department   ,34.881264,-83.410162,13,2,1,,1551,1554,3,0.2,0
G1295 BLACKSHEAR POLICE DEPARTMENT,Blackshear Police Department   ,31.304003,-82.234191,17,,4,,2832,2836,4,0.2,0